xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2
0.887;2.25419;2.25419;-8.05391;-8.05391;3.61315e-08;2.27785e-07;0.016;2.46008e-07;3.85402e-08;2.4297e-07;3;7
0.903;2.13146;2.13146;-7.28094;-7.28094;-6.59405e-09;-2.92544e-08;0.016;3.19876e-08;7.03366e-09;3.12047e-08;3;8
0.919;2.0214;2.0214;-6.47092;-6.47092;-3.50716e-08;-2.88001e-07;0.016;3.0947e-07;3.74097e-08;3.07201e-07;4;8
0.935;1.92451;1.92451;-5.6378;-5.6378;-5.05094e-08;-5.07716e-07;0.016;5.44237e-07;5.38767e-08;5.41563e-07;4;8
0.951;1.84105;1.84105;-4.79291;-4.79291;-5.55915e-08;-6.69549e-07;0.016;7.16643e-07;5.92976e-08;7.14185e-07;4;8
0.967;1.77115;1.77115;-3.945;-3.945;-5.34261e-08;-7.71928e-07;0.016;8.2536e-07;5.69878e-08;8.2339e-07;4;8
0.983;1.7148;1.7148;-3.10042;-3.10042;-4.68372e-08;-8.23714e-07;0.016;8.80047e-07;4.99597e-08;8.78628e-07;4;8
0.999;1.6719;1.6719;-2.26348;-2.26348;-3.80174e-08;-8.38032e-07;0.016;8.9482e-07;4.05519e-08;8.939e-07;4;8
1.015;1.64231;1.64231;-1.43682;-1.43682;-2.84552e-08;-8.28003e-07;0.016;8.83725e-07;3.03522e-08;8.83203e-07;4;8
1.031;1.62586;1.62586;-0.621927;-0.621926;-1.90273e-08;-8.04369e-07;0.016;8.58234e-07;2.02958e-08;8.57994e-07;4;8
1.047;1.62234;1.62234;0.180495;0.180496;-1.01647e-08;-7.74495e-07;0.016;8.26199e-07;1.08424e-08;8.26128e-07;4;8
1.063;1.63156;1.63156;0.970055;0.970056;-2.03605e-09;-7.42167e-07;0.016;7.91647e-07;2.17178e-09;7.91645e-07;4;8
1.079;1.65331;1.65331;1.7463;1.7463;5.28041e-09;-7.07743e-07;0.016;7.54947e-07;5.63244e-09;7.54926e-07;4;8
1.095;1.68737;1.68737;2.50832;2.50832;1.16473e-08;-6.68459e-07;0.016;7.13131e-07;1.24238e-08;7.13023e-07;4;8
1.111;1.73349;1.73349;3.25445;3.25445;1.67454e-08;-6.18847e-07;0.016;6.60345e-07;1.78618e-08;6.60103e-07;4;8
1.127;1.79141;1.79141;3.98192;3.98192;1.99846e-08;-5.51427e-07;0.016;5.88575e-07;2.13169e-08;5.88188e-07;4;8
1.143;1.86079;1.86079;4.68664;4.68664;2.04636e-08;-4.57867e-07;0.016;4.88879e-07;2.18278e-08;4.88392e-07;4;8
1.159;1.94123;1.94123;5.36301;5.36301;1.70034e-08;-3.30839e-07;0.016;3.5336e-07;1.8137e-08;3.52894e-07;4;8
1.175;2.03222;2.03222;6.00383;6.00383;8.28353e-09;-1.66589e-07;0.016;1.77915e-07;8.83576e-09;1.77695e-07;4;8
1.191;2.13312;2.13312;6.60041;6.60041;-6.89681e-09;3.20633e-08;0.016;3.49832e-08;7.35659e-09;3.42009e-08;4;9
1.207;2.24315;2.24315;7.14273;7.14273;-2.92384e-08;2.53148e-07;0.016;2.7182e-07;3.11876e-08;2.70024e-07;5;9
1.223;2.36134;2.36134;7.6199;7.6199;-5.85012e-08;4.74656e-07;0.016;5.10131e-07;6.24012e-08;5.063e-07;5;9
1.239;2.48657;2.48657;8.02073;8.02073;-9.31241e-08;6.66734e-07;0.016;7.18086e-07;9.93323e-08;7.11183e-07;5;9
1.255;2.61754;2.61754;8.3345;8.3345;-1.30074e-07;7.97641e-07;0.016;8.62056e-07;1.38745e-07;8.50817e-07;5;9
1.271;2.75276;2.75276;8.55182;8.55182;-1.6508e-07;8.42622e-07;0.016;9.15883e-07;1.76085e-07;8.98796e-07;5;9
1.287;2.89064;2.89064;8.66543;8.66543;-1.9332e-07;7.92925e-07;0.016;8.70562e-07;2.06208e-07;8.45787e-07;5;9
1.303;3.02948;3.02948;8.67091;8.67091;-2.10437e-07;6.61112e-07;0.016;7.40049e-07;2.24466e-07;7.05186e-07;5;9
1.319;3.16753;3.16753;8.56719;8.56719;-2.13601e-07;4.79551e-07;0.016;5.5997e-07;2.27842e-07;5.11521e-07;5;9
1.335;3.30306;3.30306;8.35664;8.35664;-2.02255e-07;2.9181e-07;0.016;3.7872e-07;2.15739e-07;3.11264e-07;5;9
1.351;3.4344;3.4344;8.04495;8.04495;-1.78251e-07;1.40033e-07;0.016;2.41789e-07;1.90134e-07;1.49369e-07;5;9
1.367;3.56;3.56;7.6406;7.6406;-1.45339e-07;5.34022e-08;0.016;1.65162e-07;1.55029e-07;5.69624e-08;5;9
1.383;3.67846;3.67846;7.15415;7.15415;-1.0821e-07;4.20342e-08;0.016;1.23827e-07;1.15424e-07;4.48365e-08;5;9
1.399;3.78856;3.78856;6.59742;6.59742;-7.14282e-08;9.77835e-08;0.016;1.29166e-07;7.61901e-08;1.04302e-07;5;9
1.415;3.88927;3.88927;5.98269;5.98269;-3.86052e-08;2.0029e-07;0.016;2.17575e-07;4.11788e-08;2.13643e-07;5;9
1.431;3.97976;3.97976;5.32197;5.32197;-1.19773e-08;3.24921e-07;0.016;3.46818e-07;1.27757e-08;3.46583e-07;5;9
1.447;4.05939;4.05939;4.62647;4.62647;7.60202e-09;4.49507e-07;0.016;4.79543e-07;8.10882e-09;4.79474e-07;5;9
1.463;4.12768;4.12768;3.90623;3.90623;2.03842e-08;5.58218e-07;0.016;5.9583e-07;2.17431e-08;5.95433e-07;5;9
1.479;4.1843;4.1843;3.16996;3.16996;2.73273e-08;6.42505e-07;0.016;6.85958e-07;2.91491e-08;6.85339e-07;5;9
1.495;4.22907;4.22907;2.425;2.425;2.97139e-08;6.99969e-07;0.016;7.47306e-07;3.16948e-08;7.46633e-07;5;9
1.511;4.26189;4.26189;1.67748;1.67748;2.88649e-08;7.3228e-07;0.016;7.81705e-07;3.07892e-08;7.81099e-07;5;9
1.527;4.28276;4.28276;0.932504;0.932503;2.59714e-08;7.43033e-07;0.016;7.93053e-07;2.77028e-08;7.92569e-07;5;9
1.543;4.29177;4.29177;0.19439;0.194389;2.2031e-08;7.36018e-07;0.016;7.85437e-07;2.34998e-08;7.85086e-07;5;9
1.559;4.28904;4.28904;-0.533023;-0.533023;1.78583e-08;7.14086e-07;0.016;7.6193e-07;1.90489e-08;7.61692e-07;5;9
1.575;4.27479;4.27478;-1.24609;-1.24609;1.41361e-08;6.78599e-07;0.016;7.23996e-07;1.50785e-08;7.23839e-07;5;9
1.591;4.24926;4.24926;-1.9411;-1.9411;1.14792e-08;6.29359e-07;0.016;6.71427e-07;1.22445e-08;6.71316e-07;5;9
1.607;4.21279;4.21279;-2.61401;-2.61401;1.04888e-08;5.64957e-07;0.016;6.02725e-07;1.1188e-08;6.02621e-07;5;9
1.623;4.16575;4.16575;-3.26027;-3.26027;1.17769e-08;4.83488e-07;0.016;5.15874e-07;1.25621e-08;5.15721e-07;5;9
1.639;4.10863;4.10863;-3.87468;-3.87468;1.5951e-08;3.83553e-07;0.016;4.09477e-07;1.70144e-08;4.09123e-07;5;9
1.655;4.04197;4.04197;-4.45132;-4.45132;2.35463e-08;2.65447e-07;0.016;2.84256e-07;2.5116e-08;2.83144e-07;5;9
1.671;3.96642;3.96642;-4.98363;-4.98363;3.491e-08;1.32313e-07;0.016;1.45964e-07;3.72374e-08;1.41134e-07;5;9
1.687;3.88276;3.88276;-5.4645;-5.4645;5.00505e-08;-9.0973e-09;0.016;5.42619e-08;5.33872e-08;9.70379e-09;5;9
1.703;3.79187;3.79187;-5.88653;-5.88653;6.8484e-08;-1.48449e-07;0.016;1.74383e-07;7.30496e-08;1.58345e-07;5;9
1.719;3.69475;3.69475;-6.24239;-6.24239;8.913e-08;-2.72986e-07;0.016;3.06312e-07;9.5072e-08;2.91185e-07;5;9
1.735;3.59251;3.59251;-6.52521;-6.52521;1.10309e-07;-3.6987e-07;0.016;4.117e-07;1.17663e-07;3.94528e-07;5;9
1.751;3.48636;3.48636;-6.72907;-6.72907;1.29886e-07;-4.29288e-07;0.016;4.78407e-07;1.38545e-07;4.57907e-07;5;9
1.767;3.37762;3.37762;-6.84941;-6.84941;1.45568e-07;-4.47422e-07;0.016;5.01874e-07;1.55273e-07;4.7725e-07;5;9
1.783;3.26764;3.26764;-6.88343;-6.88343;1.55303e-07;-4.28198e-07;0.016;4.85857e-07;1.65656e-07;4.56744e-07;5;9
1.799;3.15782;3.15782;-6.83039;-6.83039;1.57687e-07;-3.82928e-07;0.016;4.41733e-07;1.682e-07;4.08457e-07;5;9
1.815;3.04953;3.04953;-6.69164;-6.69164;1.5227e-07;-3.27748e-07;0.016;3.85486e-07;1.62421e-07;3.49598e-07;5;9
1.831;2.94412;2.94412;-6.47064;-6.47064;1.39646e-07;-2.79585e-07;0.016;3.33355e-07;1.48955e-07;2.98224e-07;5;9
1.847;2.84288;2.84288;-6.17273;-6.17273;1.21323e-07;-2.52045e-07;0.016;2.98373e-07;1.29411e-07;2.68848e-07;5;9
1.863;2.74697;2.74697;-5.80474;-5.80474;9.93962e-08;-2.52568e-07;0.016;2.89517e-07;1.06023e-07;2.69406e-07;5;9
1.879;2.65746;2.65746;-5.37463;-5.37463;7.61378e-08;-2.81613e-07;0.016;3.11172e-07;8.12136e-08;3.00387e-07;5;9
1.895;2.57527;2.57527;-4.89098;-4.89098;5.36091e-08;-3.33797e-07;0.016;3.60613e-07;5.71831e-08;3.56051e-07;5;9
