xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2
2.527;1.26661;1.26661;-2.19448;-2.19448;-2.90817e-08;-2.51296e-07;0.032;2.69838e-07;3.10205e-08;2.68049e-07;2;7
2.559;1.20124;1.20124;-1.89261;-1.89261;-2.21453e-08;-2.48293e-07;0.032;2.65897e-07;2.36217e-08;2.64846e-07;2;7
2.591;1.14541;1.14541;-1.59769;-1.59769;-1.60299e-08;-2.38993e-07;0.032;2.55499e-07;1.70986e-08;2.54926e-07;2;7
2.623;1.09891;1.09891;-1.30949;-1.30949;-1.10503e-08;-2.26776e-07;0.032;2.42181e-07;1.1787e-08;2.41894e-07;2;7
2.655;1.06154;1.06154;-1.02736;-1.02736;-7.27727e-09;-2.14045e-07;0.032;2.28447e-07;7.76242e-09;2.28315e-07;2;7
2.687;1.03311;1.03311;-0.75034;-0.75034;-4.62139e-09;-2.02404e-07;0.032;2.15954e-07;4.92949e-09;2.15898e-07;2;7
2.719;1.01348;1.01348;-0.477241;-0.477241;-2.89662e-09;-1.92856e-07;0.032;2.05737e-07;3.08973e-09;2.05713e-07;2;7
2.751;1.00254;1.00254;-0.20672;-0.206719;-1.86386e-09;-1.85991e-07;0.032;1.984e-07;1.98812e-09;1.98391e-07;2;7
2.783;1.00023;1.00023;0.0626663;0.0626665;-1.25796e-09;-1.82126e-07;0.032;1.94272e-07;1.34182e-09;1.94268e-07;2;7
2.815;1.00655;1.00655;0.332398;0.332398;-8.02964e-10;-1.81401e-07;0.032;1.93496e-07;8.56495e-10;1.93494e-07;2;7
2.847;1.02153;1.02153;0.603944;0.603944;-2.2055e-10;-1.83823e-07;0.032;1.96078e-07;2.35254e-10;1.96078e-07;2;7
2.879;1.04524;1.04524;0.878709;0.878709;7.63829e-10;-1.8927e-07;0.032;2.0189e-07;8.14751e-10;2.01888e-07;2;7
2.911;1.07781;1.07781;1.15797;1.15797;2.41239e-09;-1.97439e-07;0.032;2.10617e-07;2.57321e-09;2.10601e-07;2;7
2.943;1.11941;1.11941;1.44283;1.44283;4.95944e-09;-2.07752e-07;0.032;2.21665e-07;5.29007e-09;2.21602e-07;2;7
2.975;1.17022;1.17022;1.73409;1.73409;8.584e-09;-2.19219e-07;0.032;2.34013e-07;9.15627e-09;2.33834e-07;2;7
3.007;1.23047;1.23047;2.03225;2.03225;1.33658e-08;-2.30257e-07;0.032;2.46021e-07;1.42569e-08;2.45608e-07;2;7
3.039;1.30036;1.30036;2.3373;2.3373;1.92218e-08;-2.38496e-07;0.032;2.5522e-07;2.05032e-08;2.54395e-07;2;7
3.071;1.38012;1.38012;2.64869;2.64869;2.5822e-08;-2.40632e-07;0.032;2.58147e-07;2.75435e-08;2.56674e-07;2;7
3.103;1.46993;1.46993;2.96515;2.96515;3.24948e-08;-2.32427e-07;0.032;2.50334e-07;3.46611e-08;2.47923e-07;2;7
3.135;1.56992;1.56992;3.28459;3.28459;3.8138e-08;-2.09001e-07;0.032;2.26615e-07;4.06805e-08;2.22934e-07;2;7
3.167;1.68014;1.68014;3.60397;3.60397;4.11752e-08;-1.65591e-07;0.032;1.82009e-07;4.39202e-08;1.76631e-07;2;7
3.199;1.80053;1.80053;3.91924;3.91924;3.96095e-08;-9.89443e-08;0.032;1.13683e-07;4.22501e-08;1.05541e-07;2;7
3.231;1.93088;1.93088;4.22528;4.22528;3.12398e-08;-9.2801e-09;0.032;3.47617e-08;3.33225e-08;9.89878e-09;2;8
3.263;2.07079;2.07079;4.51601;4.51601;1.40872e-08;9.75126e-08;0.032;1.05093e-07;1.50264e-08;1.04013e-07;3;8
3.295;2.21967;2.21967;4.78453;4.78453;-1.29745e-08;2.08308e-07;0.032;2.22625e-07;1.38395e-08;2.22195e-07;3;8
