xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2
7.911;7.56967;7.56967;1.23272;1.23272;1.08447e-07;-3.50221e-07;0.128;3.91069e-07;1.15677e-07;3.73569e-07;0;7
8.039;7.73543;7.73543;1.35795;1.35795;1.56843e-07;-3.03815e-07;0.128;3.64705e-07;1.67299e-07;3.24069e-07;0;7
8.167;7.91741;7.91741;1.48572;1.48572;1.82925e-07;-1.96954e-07;0.128;2.86718e-07;1.9512e-07;2.10084e-07;0;7
8.295;8.1157;8.1157;1.61186;1.61186;1.63428e-07;-2.24713e-08;0.128;1.75964e-07;1.74324e-07;2.39694e-08;0;7
8.423;8.32976;8.32976;1.73108;1.73108;7.47364e-08;2.02679e-07;0.128;2.3042e-07;7.97188e-08;2.16191e-07;0;7
8.551;8.55831;8.55831;1.83729;1.83729;-9.58016e-08;4.25722e-07;0.128;4.65459e-07;1.02188e-07;4.54103e-07;0;7
8.679;8.79927;8.79927;1.92404;1.92404;-3.35711e-07;5.6239e-07;0.128;6.98634e-07;3.58092e-07;5.99883e-07;0;7
8.807;9.04977;9.04977;1.98535;1.98535;-5.9884e-07;5.29025e-07;0.128;8.52317e-07;6.38763e-07;5.64293e-07;0;7
8.935;9.30623;9.30623;2.01657;2.01657;-8.13103e-07;2.95162e-07;0.128;9.22686e-07;8.6731e-07;3.1484e-07;0;7
9.063;9.56462;9.56462;2.01521;2.01521;-9.07818e-07;-7.82601e-08;0.128;9.71931e-07;9.68339e-07;8.34774e-08;0;7
9.191;9.82074;9.82074;1.98138;1.98138;-8.48246e-07;-4.54632e-07;0.128;1.02656e-06;9.04796e-07;4.84941e-07;0;7
9.319;10.0706;10.0706;1.91777;1.91777;-6.54574e-07;-6.92191e-07;0.128;1.01619e-06;6.98212e-07;7.38337e-07;0;7
9.447;10.3106;10.3106;1.82917;1.82917;-3.91175e-07;-7.19525e-07;0.128;8.73583e-07;4.17253e-07;7.67494e-07;0;7
9.575;10.538;10.538;1.72165;1.72165;-1.34109e-07;-5.60823e-07;0.128;6.15077e-07;1.4305e-07;5.98211e-07;0;7
9.703;10.7508;10.7508;1.60163;1.60163;6.0666e-08;-3.02362e-07;0.128;3.28947e-07;6.47104e-08;3.22519e-07;0;7
9.831;10.9478;10.9478;1.47518;1.47518;1.71296e-07;-3.70701e-08;0.128;1.86945e-07;1.82716e-07;3.95414e-08;0;7
9.959;11.1284;11.1284;1.34747;1.34747;2.0519e-07;1.73452e-07;0.128;2.86591e-07;2.18869e-07;1.85016e-07;0;7
10;11.1828;11.1828;1.307;1.307;6.27296e-10;9.29949e-10;0.041;2.86591e-07;2.18869e-07;1.85016e-07;0;7
