xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2
1.839;10.3819;10.3819;2.63663;2.63663;2.92329e-08;1.45327e-07;0.032;1.58121e-07;3.11818e-08;1.55016e-07;1;6
1.871;10.4607;10.4607;2.28905;2.28905;3.57603e-08;1.74913e-07;0.032;1.90433e-07;3.81444e-08;1.86574e-07;1;6
1.903;10.5284;10.5284;1.94062;1.94062;3.78966e-08;1.96694e-07;0.032;2.13665e-07;4.04231e-08;2.09807e-07;1;6
1.935;10.5849;10.5849;1.59432;1.59432;3.68536e-08;2.09657e-07;0.032;2.27063e-07;3.93105e-08;2.23634e-07;1;6
1.967;10.6305;10.6305;1.25247;1.25247;3.37565e-08;2.14399e-07;0.032;2.31509e-07;3.60069e-08;2.28692e-07;1;6
1.999;10.6652;10.6652;0.916856;0.916855;2.95316e-08;2.1234e-07;0.032;2.28676e-07;3.15004e-08;2.26496e-07;1;6
2.031;10.6892;10.6892;0.588789;0.588789;2.48741e-08;2.05126e-07;0.032;2.20404e-07;2.65324e-08;2.18802e-07;1;6
2.063;10.7029;10.7029;0.269251;0.269251;2.02674e-08;1.94238e-07;0.032;2.08312e-07;2.16185e-08;2.07188e-07;1;6
2.095;10.7066;10.7066;-0.0410122;-0.0410124;1.60275e-08;1.80785e-07;0.032;1.93594e-07;1.7096e-08;1.92838e-07;1;6
2.127;10.7004;10.7004;-0.341386;-0.341386;1.2357e-08;1.65433e-07;0.032;1.76953e-07;1.31808e-08;1.76461e-07;1;6
2.159;10.6848;10.6848;-0.631291;-0.631291;9.39396e-09;1.48412e-07;0.032;1.58623e-07;1.00202e-08;1.58307e-07;1;6
2.191;10.6601;10.6601;-0.910108;-0.910108;7.25254e-09;1.29592e-07;0.032;1.38447e-07;7.73604e-09;1.38231e-07;1;6
2.223;10.6267;10.6267;-1.17711;-1.17711;6.05002e-09;1.08577e-07;0.032;1.15995e-07;6.45335e-09;1.15815e-07;1;6
2.255;10.5849;10.5849;-1.43139;-1.4314;5.91987e-09;8.48495e-08;0.032;9.07261e-08;6.31453e-09;9.05061e-08;1;6
2.287;10.5352;10.5352;-1.67189;-1.67189;7.00969e-09;5.79271e-08;0.032;6.22397e-08;7.47701e-09;6.17889e-08;1;6
2.319;10.4781;10.4781;-1.89731;-1.89731;9.46405e-09;2.75444e-08;0.032;3.10666e-08;1.0095e-08;2.93807e-08;1;7
2.383;10.3435;10.3435;-2.29671;-2.29671;5.32769e-07;-4.21817e-07;0.064;7.24841e-07;5.68287e-07;4.49938e-07;1;7
2.415;10.2672;10.2672;-2.46721;-2.46721;2.56989e-08;-8.02554e-08;0.032;8.98876e-08;2.74122e-08;8.56058e-08;2;7
2.447;10.1858;10.1858;-2.61579;-2.61579;3.37449e-08;-1.17448e-07;0.032;1.30346e-07;3.59946e-08;1.25278e-07;2;7
